,ID,Name,latitude,longitude,Rating,Url
0,ChIJ6YwUNf-q0kwRZMOzmbLXMWw,Pan Chancho Bakery & Café,44.231113,-76.480497,4.5,https://maps.google.com/?cid=7796249592037884772
1,ChIJJdc9Qret0kwRcEm-YknzfhU,Fardella's Classic Bakery,44.2600262,-76.5817495,4.5,https://maps.google.com/?cid=1548942818376829296
2,ChIJ_WlR-VCs0kwRhClzD94QhG4,COBS Bread Bakery,44.24936539999999,-76.566107,4.6,https://maps.google.com/?cid=7963508587025869188
3,ChIJiyUauKWt0kwREFQv3IpwNoQ,The Silly Yak,44.2758025,-76.5740689,4.8,https://maps.google.com/?cid=9526925803450749968
4,ChIJM_YEjf-q0kwRbzGIcwE9OEQ,Card's Bakery And Goods,44.231836,-76.48299399999999,4.4,https://maps.google.com/?cid=4915746069717463407
5,ChIJB0fUYfOs0kwRCiL20k-RKyk,Bread & Butter Bakery,44.23756969999999,-76.5589535,4.7,https://maps.google.com/?cid=2966624551581393418
6,ChIJfVWw6v-q0kwRHAYp9DjEdf4,CRAVE Coffee House & Bakery,44.2317688,-76.48472249999999,4.4,https://maps.google.com/?cid=18335777206802384412
7,ChIJ6wNCRkys0kwRhm9ZZHYoPrM,Safari Cake Boutique Inc.,44.2530122,-76.5678801,4.7,https://maps.google.com/?cid=12915805270299996038
8,ChIJZfnUk8as0kwRA7wqhX_4rtQ,Sydenham Sweet Bakery,44.2188903,-76.57095509999999,5,https://maps.google.com/?cid=15325459808567081987
9,ChIJoSnABOer0kwRuaMh9KlUAKw,Grama's house bakery and Cafe,44.2652465,-76.4971893,4.3,https://maps.google.com/?cid=12393999263445656505
10,ChIJS_MnSOSr0kwRB77-t46dIBY,Panera Bread,44.2653729,-76.5023963,4.2,https://maps.google.com/?cid=1594447504386997767
11,ChIJC7q0jeWr0kwRX0pc799VDJc,Weston Bakeries Limited Ontario Factory,44.2487333,-76.49007929999999,3.6,https://maps.google.com/?cid=10884168819729517151
12,ChIJu0TJI6Gr0kwRLYMk4gcNfVI,Common Sense Market & Bakery,44.2377674,-76.5030139,4.8,https://maps.google.com/?cid=5943921410708898605
13,ChIJTS5LeAnBVkARMtHwX0U_oEo,Fardella's Grill and Bakery,44.26001369999999,-76.5060082,3.4,https://maps.google.com/?cid=5377367522275283250
14,ChIJvTu3CHmr0kwRqBsgiHL5d0Y,Warrior Cakes,44.23473800000001,-76.52492,5,https://maps.google.com/?cid=5077801375188917160
15,ChIJi4eGgvWr0kwRo0yeMs49d5s,Bread-Man & Catering,44.2392032,-76.5436048,5,https://maps.google.com/?cid=11202490553929190563
16,ChIJh_jkL0is0kwRefxSo_mV4ck,Costco Bakery,44.2600946,-76.5606842,5,https://maps.google.com/?cid=14547073170802932857
17,ChIJVRMDxtat0kwRA7ntaBoVMaY,Canada Bread,44.2777655,-76.5695377,5,https://maps.google.com/?cid=11975376087328602371
18,ChIJn4uh3Ies0kwRMPrQJmx3YHQ,Frangos at Breadman Bakery,44.2384962,-76.5435145,0,https://maps.google.com/?cid=8385833812555266608
